BUSCA;Resultado Esperado;RSLP;ACRSLP;FPRSLP;FNRSLP;F1RSLP;SNOW;ACSNOW;FPSNOW;FNSNOW;F1SNOW;CHAVESOUNDEX;ACCHAVESOUNDEX;FPCHAVESOUNDEX;FNCHAVESOUNDEX;F1CHAVESOUNDEX;BUSCABR_SEM_VOGAL;ACBUSCABRSV;FPBUSCABRSV;FNBUSCABRSV;F1BUSCABRSV;BUSCABR;ACBUSCABR;FPBUSCABR;FNBUSCABR;F1BUSCABR;METAPHONEBR;ACMETAPHONEBR;FPMETAPHONEBR;FNMETAPHONEBR;F1METAPHONEBR;ROBERTO;ACROBERTO;FPROBERTO;FNROBERTO;F1ROBERTO;BAGGING;ACBAGG;FPBAGG;FNBAGG;F1BAGG
CLEYVERSON;CLEVERSON,CLEYVERSON;[CLEYVERSON];1;0;1;0.666666666667;[CLEYVERSON];1;0;1;0.666666666667;[CLEBERSON, CLEVERSON, CLEYVERSON];2;1;0;0.8;[CLEVERSON, CLEYVERSON];2;0;0;1.0;[CLEYVERSON];1;0;1;0.666666666667;[CLEVERSON, CLEYVERSON];2;0;0;1.0;[CLEVERSON, CLEYVERSON];2;0;0;1.0;[CLEYVERSON, CLEVERSON];2;0;0;1.0
CLOVIS;CLOVIS,CLOVES;[CLOVIS];1;0;1;0.666666666667;[CLOVES, CLOVIS];2;0;0;1.0;[CLOVES, CLOVIS];2;0;0;1.0;[CLARIVAL, CLAVIO, CLEVAL, CLOVES, CLOVIS];2;3;0;0.571428571429;[CLOVIS];1;0;1;0.666666666667;[CLOVES, CLOVIS, HELVECIO];2;1;0;0.8;[CLOVES, CLOVIS];2;0;0;1.0;[CLOVES, CLOVIS];2;0;0;1.0
CORINA;COLINA, CORINA;[CORINA];0;1;2;0.0;[CORINA];0;1;2;0.0;[CARINI, CARINO, CARMEM, CARMEN, CARMO, CIRANO, CORINA];0;7;2;0.0;[AQUILINO, CARINI, CARINO, CARLINDO, CAROLINA, CAROLINO, CLARINDA, CLARINDO, CLEMAR, CLEMIR, CLEOMAR, CLEOMENES, CLEONICE, COLINA, COLMAR, CORINA, KARINA, KARINE, OCARLINA];1;18;1;0.0952380952381;[COLINA, CORINA];1;1;1;0.5;[CARINI, CARINO, CORINA, KARINA, KARINE];0;5;2;0.0;[CORINA];0;1;2;0.0;[CORINA];0;1;2;0.0
CRISTIANO;CHRISTIANNO,CRISTIANO;[CRISTIANO];1;0;1;0.666666666667;[CRISTIAN, CRISTIANE, CRISTIANO];1;2;1;0.4;[CHRISTIAN, CHRISTIANNO, CRISTHINE, CRISTIAN, CRISTIANE, CRISTIANO, CRISTINA];2;5;0;0.444444444444;[CRISTHINE, CRISTIANE, CRISTIANO, CRISTINA];1;3;1;0.333333333333;[CRISTIANO];1;0;1;0.666666666667;[CRISTHINE, CRISTIANE, CRISTIANO, CRISTINA];1;3;1;0.333333333333;[CRISTIANO];1;0;1;0.666666666667;[CRISTIANO];1;0;1;0.666666666667
CYRIO;CYRIO,CYRO,CIRO;[CYRIO];1;0;2;0.5;[CYRIO];1;0;2;0.5;[CIRO, COR, CORA, CYRIO, CYRO];3;2;0;0.75;[ACHILLES, CECILIA, CECILIO, CELI, CELIA, CELIO, CELIS, CELY, CESARIO, CHARLES, CICERA, CICERO, CICILIA, CILAS, CILEIA, CILON, CIRILO, CIRO, CYRIO, CYRO, ECILA, ERCILIA, ERCILIO, ERZOIRES, HERCILIO, ISAURA, ISLAYR, ISRAEL, IZAURA, OSELIAS, OSORIA, OZORIO, SARA, SAULO, SHEILA, SHERLIS, SHIRLEI, SHIRLEY, SIARA, SILAS, SILLAS, SOLON, SORAYA, SUELI, SUELY, UZILIA, ZAIRA, ZARLY, ZELIA, ZÉLIA, ZELY, ZILA, ZILAH, ZULLY];3;51;0;0.105263157895;[CECILIO, CELIO, CYRIO];1;2;2;0.333333333333;[CIRO, CYRIO, CYRO, SARA, SIARA, SORAYA];3;3;0;0.666666666667;[CYRIO];1;0;2;0.5;[CYRIO];1;0;2;0.5
DALTO;DALTO,DALTON;[DALTO];1;0;1;0.666666666667;[DALTO];1;0;1;0.666666666667;[DALTO, DEILDA];1;1;1;0.5;[ADAILTON, ADALTO, ADAUTO, ADEILTO, ADITH, DALTO, DALTON, DAUSTER, EDITE, EDITH, EUDETE, ODETE, ODETTE];2;11;0;0.266666666667;[DALTO, DALTON];2;0;0;1.0;[DALTO];1;0;1;0.666666666667;[DALTO];1;0;1;0.666666666667;[DALTO];1;0;1;0.666666666667
DARCI;DARCI,DARCY;[DARCI];1;0;1;0.666666666667;[DARCI];1;0;1;0.666666666667;[DARCI, DARCIO, DARCY, DERCI, DERCY, DEROCI, DIRACY, DIRCE, DIRCEA, DIRCEU, DIRSO, DORACI, DORACY, DORCA];2;12;0;0.25;[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA];2;43;0;0.0851063829787;[DARCI, DARCY];2;0;0;1.0;[DARCI, DARCIO, DARCY, DERCI, DERCY, DEROCI, DIRACY, DIRCE, DIRCEA, DIRSO, DORACI, DORACY];2;10;0;0.285714285714;[DARCI, DARCY];2;0;0;1.0;[DARCI, DARCY];2;0;0;1.0
DARI;DARI,DARLY,DARY;[DARI];1;0;2;0.5;[DARI];1;0;2;0.5;[DAIR, DARI, DARIO, DARY, DAURO, DERIA, DERIO, DORIO];2;6;1;0.363636363636;[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON];3;62;0;0.0882352941176;[DARI, DARLY, DARY];3;0;0;1.0;[DARI, DARIO, DARY, DERIA, DERIO, DORIO];2;4;1;0.444444444444;[DARI, DARY];2;0;1;0.8;[DARY, DARI];2;0;1;0.8
DAVI;DAVI,DAVID;[DAVI];1;0;1;0.666666666667;[DAVI];1;0;1;0.666666666667;[DAVI, DIVA];1;1;1;0.5;[DAVI, DEVERCY, DIVA, DIVAL, EDIVAL, EDIVAM, EDIVAN, EDIVAR, EDVAR];1;8;1;0.181818181818;[DAVI];1;0;1;0.666666666667;[DAVI, DIVA];1;1;1;0.5;[DAVI];1;0;1;0.666666666667;[DAVI];1;0;1;0.666666666667
DAYSE;DAISE, DASI, DAYSE;[DAYSE];0;1;3;0.0;[DAYSE];0;1;3;0.0;[DACIO, DAISE, DASI, DAYSE, DECIO, DEJACY, DESIO, DIEGO, DIOGO];1;8;2;0.166666666667;[ADACIR, ADASIO, ADERSON, ADESIL, ADIRCIO, ADIRSON, DACIO, DAISE, DARCIO, DASI, DAYSE, DECIO, DESIO, DEUSIL, DIRCEA, DIRCEU, DIRSO, DIRSON, EDECIO, EDESON, EDIRSON, EDISON, EDIZA, EDSE, EDSON, HUDSON, UDSON];1;26;2;0.0666666666667;[DAISE, DAYSE];1;1;2;0.4;[DAISE, DASI, DAYSE, DESIO];1;3;2;0.285714285714;[DAISE, DAYSE];1;1;2;0.4;[DAISE, DAYSE];1;1;2;0.4
DEBORA;DEBORA,DEBORAH;[DEBORA];1;0;1;0.666666666667;[DEBORA];1;0;1;0.666666666667;[DEBORA, DEBORAH];2;0;0;1.0;[DEBORA, DEBORAH];2;0;0;1.0;[DEBORA, DEBORAH];2;0;0;1.0;[DEBORA, DEBORAH];2;0;0;1.0;[DEBORA];1;0;1;0.666666666667;[DEBORA, DEBORAH];2;0;0;1.0
DEJANIRA;DEJANIRA, DJANIRA;[DEJANIRA];1;0;1;0.666666666667;[DEJANIRA];1;0;1;0.666666666667;[DEJANIRA, DEUSENIR, DEUSIMAR, DGNAR, DJANIRA];1;4;1;0.285714285714;[DEJANIRA, DJANIRA];1;1;1;0.5;[DEJANIRA];1;0;1;0.666666666667;[DEJANIRA, DJANIRA];1;1;1;0.5;[DEJANIRA, DJANIRA];1;1;1;0.5;[DEJANIRA, DJANIRA];1;1;1;0.5
DELCI;DELCI,DELCY;[DELCI];1;0;1;0.666666666667;[DELCI];1;0;1;0.666666666667;[DALCI, DEILZA, DELCI, DELCIO, DELCY, DELZA, DELZO, DILCA, DILCE, DILSA, DILZA, DULCE];2;10;0;0.285714285714;[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON];2;63;0;0.0597014925373;[DELCI, DELCY];2;0;0;1.0;[DALCI, DELCI, DELCIO, DELCY, DEOCLECIO, DILCE, DILSA, DULCE];2;6;0;0.4;[DEILZA, DELCI, DELCY, DELZA, DELZO, DILCE, DILSA, DILZA];2;6;0;0.4;[DELCY, DELCI, DILCE];2;1;0;0.8
DELMA;DELMA,DELMAR;[DELMA, DELMAR, DELMIR, DELMO];2;2;0;0.666666666667;[DELMA, DELMAR, DELMIR, DELMO];2;2;0;0.666666666667;[DALMO, DAYLIANE, DELINA, DELMA, DELMO, DILMA];1;5;1;0.25;[ADAURINO, ADELIANE, ADELINA, ADELINO, ADELMA, ADELMIR, ADRIANA, ADRIANO, AUDALIANO, DALMIR, DALMO, DAYLIANE, DELINA, DELMA, DELMAR, DELMIR, DELMO, DEOLINDA, DEOLINDO, DILMA, DILMAR, DIOLINDA, DIRLENE, DORALINO, DORINHA, EDELMO, EDILMA, IDALINA];2;26;0;0.133333333333;[DELMA, DELMAR];2;0;0;1.0;[DALMO, DELMA, DELMO, DILMA];1;3;1;0.333333333333;[DELMA, DELMO, DILMA];1;2;1;0.4;[DELMO, DELMA, DILMA];1;2;1;0.4
DELVAIR;DELVAIR, DOLVAIR;[DELVAIR];1;0;1;0.666666666667;[DELVAIR];1;0;1;0.666666666667;[DELVAIR, DOLVAIR];1;1;1;0.5;[ADERALVO, ADORIVAN, DALVA, DELVAIR, DELVAUX, DELVES, DELVO, DERVACY, DERVAI, DILVO, DOLVAIR, DORIVAL, DOURIVAL, DURVAL, ODILVAN];1;14;1;0.117647058824;[DELVAIR, DERVAI];1;1;1;0.5;[DELVAIR, DOLVAIR];1;1;1;0.5;[DELAIR, DELVAIR, DOLVAIR];1;2;1;0.4;[DOLVAIR, DELVAIR];1;1;1;0.5
DENICE;DENECY, DENICE, DENISE, DENIZE;[DENICE];0;1;4;0.0;[DENICE];0;1;4;0.0;[DENECY, DENICE, DENIS, DENISE, DENIZE, DENYS, DIMAS, DIOMAZIA, DIONISIO, DIONIZIO, DOMENICO, DOMICIO, DOMINGAS, DOMINGOS, DONICIO];1;14;3;0.105263157895;[ADEMAR, ADEMIR, ADENIS, ADENOR, ADHEMAR, ADHEMAYR, ADNIL, DANIEL, DENECY, DENICE, DENIO, DENIS, DENYS, DGNAR, DIANA, DIDIMO, DIDNEY, DIMAS, DINA, DINAH, DINOMAR, DIOMAR, DIONE, DUERGNES, EDIMAR, EDIMUNDO, EDINA, EDINEA, EDINEIA, EDMAR, EDMIR, EDMO, EDMUNDO, EDNA, EDNE, EDNEI, EDNEIA, IDMAR, IDOMAR, ODENI, ODINEIA];1;40;3;0.0444444444444;[DENICE, DENIS, DENYS];0;3;4;0.0;[DENECY, DENICE, DENIS, DENYS, DONICIO];1;4;3;0.222222222222;[DENECY, DENICE, DENISE, DENIZE];1;3;3;0.25;[DENICE, DENYS, DENECY, DENIS];1;3;3;0.25
DENIS;DENIS,DENYS;[DENIS];1;0;1;0.666666666667;[DENIS];1;0;1;0.666666666667;[DENECY, DENICE, DENIS, DENISE, DENIZE, DENYS, DIMAS, DIOMAZIA, DIONISIO, DIONIZIO, DOMENICO, DOMICIO, DOMINGAS, DOMINGOS, DONICIO];2;13;0;0.235294117647;[ADEMAR, ADEMIR, ADENIS, ADENOR, ADHEMAR, ADHEMAYR, ADNIL, DANIEL, DENECY, DENICE, DENIO, DENIS, DENYS, DGNAR, DIANA, DIDIMO, DIDNEY, DIMAS, DINA, DINAH, DINOMAR, DIOMAR, DIONE, DUERGNES, EDIMAR, EDIMUNDO, EDINA, EDINEA, EDINEIA, EDMAR, EDMIR, EDMO, EDMUNDO, EDNA, EDNE, EDNEI, EDNEIA, IDMAR, IDOMAR, ODENI, ODINEIA];2;39;0;0.093023255814;[DENICE, DENIS, DENYS];2;1;0;0.8;[DENECY, DENICE, DENIS, DENYS, DONICIO];2;3;0;0.571428571429;[DENIS, DENYS];2;0;0;1.0;[DENICE, DENYS, DENIS];2;1;0;0.8
DEOCLECIO;DEOCLECIO,DEOCLESIO;[DEOCLECIANO, DEOCLECIO];1;1;1;0.5;[DEOCLECIO];1;0;1;0.666666666667;[DEOCLECIO, DEOCLESIO, DOUGLAS];2;1;0;0.8;[DEOCLECIO, DEOCLESIO];2;0;0;1.0;[DEOCLECIO];1;0;1;0.666666666667;[DALCI, DELCI, DELCIO, DELCY, DEOCLECIO, DILCE, DILSA, DULCE];1;7;1;0.2;[DEOCLECIO, DEOCLESIO];2;0;0;1.0;[DEOCLECIO];1;0;1;0.666666666667
DEUSEDETE;DEUSDEDIT, DEUSDETE;[];0;0;2;0.0;[];0;0;2;0.0;[DEUSDEDIT, DEUSDETE, DEUSDITA];1;2;1;0.4;[DEUSDEDIT, DEUSDETE, DEUSDITA];1;2;1;0.4;[];0;0;2;0.0;[];0;0;2;0.0;[DEUSDETE];0;1;2;0.0;[];0;0;2;0.0
DEUSENIR;DEUSENIR, DEUSENY;[DEUSENIR];1;0;1;0.666666666667;[DEUSENIR];1;0;1;0.666666666667;[DEJANIRA, DEUSENIR, DEUSIMAR, DGNAR, DJANIRA];1;4;1;0.285714285714;[DARMACI, DECIMO, DEOZINO, DEUSENIR, DEUSENY, DEUSIMAR, DEUZINHA, DIOCEZANO, DORCINA];1;8;1;0.181818181818;[DEUSENIR, DEUSENY];1;1;1;0.5;[DEUSENIR];1;0;1;0.666666666667;[DEUSENIR];1;0;1;0.666666666667;[DEUSENIR];1;0;1;0.666666666667
DILMA;DILMA,DILMAR;[DILMA, DILMAR];2;0;0;1.0;[DILMA, DILMAR];2;0;0;1.0;[DALMO, DAYLIANE, DELINA, DELMA, DELMO, DILMA];1;5;1;0.25;[ADAURINO, ADELIANE, ADELINA, ADELINO, ADELMA, ADELMIR, ADRIANA, ADRIANO, AUDALIANO, DALMIR, DALMO, DAYLIANE, DELINA, DELMA, DELMAR, DELMIR, DELMO, DEOLINDA, DEOLINDO, DILMA, DILMAR, DIOLINDA, DIRLENE, DORALINO, DORINHA, EDELMO, EDILMA, IDALINA];2;26;0;0.133333333333;[DILMA, DILMAR];2;0;0;1.0;[DALMO, DELMA, DELMO, DILMA];1;3;1;0.333333333333;[DELMA, DELMO, DILMA];1;2;1;0.4;[DELMO, DELMA, DILMA];1;2;1;0.4
DILZA;DILSA,DILZA;[DILZA];1;0;1;0.666666666667;[DILZA];1;0;1;0.666666666667;[DALCI, DEILZA, DELCI, DELCIO, DELCY, DELZA, DELZO, DILCA, DILCE, DILSA, DILZA, DULCE];2;10;0;0.285714285714;[ADELCIO, ADELSON, ADEYLSON, ADILSO, ADILSON, ADOLECIA, ADORIZIO, DARLISON, DEILZA, DELCIO, DELSON, DELZA, DELZO, DIELLYSON, DILSA, DILSON, DILZA, DOLESAR, EDILEUSA, EDILSON, IDALIZAR, IDELSON, UDILSON];2;21;0;0.16;[DILSA, DILZA];2;0;0;1.0;[DEILZA, DELZA, DELZO, DEOCLESIO, DILZA];1;4;1;0.285714285714;[DEILZA, DELCI, DELCY, DELZA, DELZO, DILCE, DILSA, DILZA];2;6;0;0.4;[DILSA, DELZO, DELZA, DILZA, DEILZA];2;3;0;0.571428571429
DINA;DINA,DINAH;[DINA];1;0;1;0.666666666667;[DINA];1;0;1;0.666666666667;[DENIO, DIANA, DINA, DINAH, DIONE];2;3;0;0.571428571429;[ADEMAR, ADEMIR, ADENIS, ADENOR, ADHEMAR, ADHEMAYR, ADNIL, DANIEL, DENECY, DENICE, DENIO, DENIS, DENYS, DGNAR, DIANA, DIDIMO, DIDNEY, DIMAS, DINA, DINAH, DINOMAR, DIOMAR, DIONE, DUERGNES, EDIMAR, EDIMUNDO, EDINA, EDINEA, EDINEIA, EDMAR, EDMIR, EDMO, EDMUNDO, EDNA, EDNE, EDNEI, EDNEIA, IDMAR, IDOMAR, ODENI, ODINEIA];2;39;0;0.093023255814;[DIMAS, DINA, DINAH];2;1;0;0.8;[DENIO, DIANA, DINA, DINAH, DIONE];2;3;0;0.571428571429;[DINA];1;0;1;0.666666666667;[DINA, DINAH];2;0;0;1.0
DIOGENES;DEOGENES, DIOGENES;[DIOGENES];0;1;2;0.0;[DIOGENES];0;1;2;0.0;[DEOGENES, DIOGENES];1;1;1;0.5;[DEOGENES, DIOGENES];1;1;1;0.5;[DIOGENES];0;1;2;0.0;[DEOGENES, DIOGENES];1;1;1;0.5;[DEOGENES, DIOGENES];1;1;1;0.5;[DEOGENES, DIOGENES];1;1;1;0.5
DIONISIO;DIONISIO,DIONIZIO;[DIONISIO];1;0;1;0.666666666667;[DIONISIO];1;0;1;0.666666666667;[DENECY, DENICE, DENIS, DENISE, DENIZE, DENYS, DIMAS, DIOMAZIA, DIONISIO, DIONIZIO, DOMENICO, DOMICIO, DOMINGAS, DOMINGOS, DONICIO];2;13;0;0.235294117647;[ADENICIO, DENISE, DENIZE, DEOMECIR, DIOMAZIA, DIONISIO, DIONIZIO, DOMICIO, DONICIO];2;7;0;0.363636363636;[DIONISIO, DIONIZIO];2;0;0;1.0;[DENISE, DENIZE, DIONISIO, DIONIZIO];2;2;0;0.666666666667;[DIONISIO, DIONIZIO];2;0;0;1.0;[DIONISIO, DIONIZIO];2;0;0;1.0
DIRSON;DIRSON,DIRSO;[DIRSON];1;0;1;0.666666666667;[DIRSON];1;0;1;0.666666666667;[DIRSON, DORCINA];1;1;1;0.5;[ADACIR, ADASIO, ADERSON, ADESIL, ADIRCIO, ADIRSON, DACIO, DAISE, DARCIO, DASI, DAYSE, DECIO, DESIO, DEUSIL, DIRCEA, DIRCEU, DIRSO, DIRSON, EDECIO, EDESON, EDIRSON, EDISON, EDIZA, EDSE, EDSON, HUDSON, UDSON];2;25;0;0.137931034483;[DIRSO, DIRSON];2;0;0;1.0;[DIRSON];1;0;1;0.666666666667;[DIRSON];1;0;1;0.666666666667;[DIRSON];1;0;1;0.666666666667
DJALMA;DEJALMA, DJALMA;[DJALMA];0;1;2;0.0;[DJALMA];0;1;2;0.0;[DEJALMA, DEOZOLINO, DJALMA];1;2;1;0.4;[DEJALMA, DJALMA];1;1;1;0.5;[DJALMA];0;1;2;0.0;[DEJALMA, DJALMA];1;1;1;0.5;[DJALMA];0;1;2;0.0;[DJALMA];0;1;2;0.0
DONISETE;DONISETE, DONIZETE, DONIZETTE, DONIZETTI;[DONISETE];1;0;3;0.4;[DONISETE];1;0;3;0.4;[DONISETE, DONIZETE, DONIZETTE, DONIZETTI];1;3;3;0.25;[ADONIZETE, DONISETE, DONIZETE, DONIZETTE, DONIZETTI];1;4;3;0.222222222222;[DONISETE, DONIZETE, DONIZETTE];1;2;3;0.285714285714;[DONISETE, DONIZETE];1;1;3;0.333333333333;[ADONIZETE, DONISETE, DONIZETE, DONIZETTE];1;3;3;0.25;[DONISETE, DONIZETE, DONIZETTE];1;2;3;0.285714285714
DORACI;DORACI,DORACY;[DORACI];1;0;1;0.666666666667;[DORACI];1;0;1;0.666666666667;[DARCI, DARCIO, DARCY, DERCI, DERCY, DEROCI, DIRACY, DIRCE, DIRCEA, DIRCEU, DIRSO, DORACI, DORACY, DORCA];2;12;0;0.25;[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON];2;63;0;0.0597014925373;[DORACI, DORACY];2;0;0;1.0;[DARCI, DARCIO, DARCY, DERCI, DERCY, DEROCI, DIRACY, DIRCE, DIRCEA, DIRSO, DORACI, DORACY];2;10;0;0.285714285714;[DORACI, DORACY];2;0;0;1.0;[DORACI, DORACY];2;0;0;1.0
DOROTEIA;DOROTHEA,DOROTEIA;[DOROTEIA];1;0;1;0.666666666667;[DOROTEIA];1;0;1;0.666666666667;[DOROTEIA, DOROTHEA];2;0;0;1.0;[DOROTEIA, DOROTHEA, DRASTO];2;1;0;0.8;[DOROTEIA];1;0;1;0.666666666667;[DOROTEIA, DOROTHEA];2;0;0;1.0;[DOROTEIA];1;0;1;0.666666666667;[DOROTEIA];1;0;1;0.666666666667
EDER;EDER,HEDER;[EDER];1;0;1;0.666666666667;[EDER];1;0;1;0.666666666667;[EDER, EDIR, EDYR];1;2;1;0.4;[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA];2;43;0;0.0851063829787;[EDER, EDES, HEDER, HEDES];2;2;0;0.666666666667;[EDER, EDIR, EDYR];1;2;1;0.4;[EDER, EDIR, EDYR];1;2;1;0.4;[EDYR, EDIR, EDER];1;2;1;0.4
EDGAR;EDGAR,EDGARD;[EDGAR];1;0;1;0.666666666667;[EDGAR];1;0;1;0.666666666667;[EDGAR];1;0;1;0.666666666667;[ADGAR, DIEGO, DIOGO, DOUGLAS, EDGAR];1;4;1;0.285714285714;[EDGAR];1;0;1;0.666666666667;[EDGAR];1;0;1;0.666666666667;[EDGAR];1;0;1;0.666666666667;[EDGAR];1;0;1;0.666666666667
EDILIA;EDILA, EDILEA, EDILIA;[EDILA, EDILIA, EDIS];1;2;2;0.333333333333;[EDILA, EDILEA, EDILIA];1;2;2;0.333333333333;[EDILA, EDILEA, EDILIA, EDILIO];1;3;2;0.285714285714;[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON];1;64;2;0.0294117647059;[EDILIA];0;1;3;0.0;[EDILA, EDILEA, EDILIA, EDILIO];1;3;2;0.285714285714;[ADELIA, ADILIA, EDILEA, EDILIA, ODILIA];0;5;3;0.0;[EDILIA, EDILEA];0;2;3;0.0
EDIMILSON;EDIMILSON,EDMILSON;[EDIMILSON];1;0;1;0.666666666667;[EDIMILSON];1;0;1;0.666666666667;[EDIMILSON, EDMILSON];2;0;0;1.0;[ADEMILSON, ADENILSON, ADMILSON, ADNILSON, DANILZA, DENILSON, DENILZA, EDIMILSON, EDMILSON];2;7;0;0.363636363636;[EDIMILSON];1;0;1;0.666666666667;[EDIMILSON, EDMILSON];2;0;0;1.0;[ADEMILSON, ADMILSON, EDIMILSON, EDMILSON];2;2;0;0.666666666667;[EDIMILSON, EDMILSON];2;0;0;1.0
EDIMUNDO;EDIMUNDO,EDMUNDO;[EDIMUNDO];1;0;1;0.666666666667;[EDIMUNDO];1;0;1;0.666666666667;[EDIMUNDO, EDMUNDO];2;0;0;1.0;[ADEMAR, ADEMIR, ADENIS, ADENOR, ADHEMAR, ADHEMAYR, ADNIL, DANIEL, DENECY, DENICE, DENIO, DENIS, DENYS, DGNAR, DIANA, DIDIMO, DIDNEY, DIMAS, DINA, DINAH, DINOMAR, DIOMAR, DIONE, DUERGNES, EDIMAR, EDIMUNDO, EDINA, EDINEA, EDINEIA, EDMAR, EDMIR, EDMO, EDMUNDO, EDNA, EDNE, EDNEI, EDNEIA, IDMAR, IDOMAR, ODENI, ODINEIA];2;39;0;0.093023255814;[EDIMUNDO];1;0;1;0.666666666667;[EDIMUNDO, EDMUNDO];2;0;0;1.0;[EDIMUNDO, EDMUNDO];2;0;0;1.0;[EDMUNDO, EDIMUNDO];2;0;0;1.0
EDINEIA;EDINEIA,EDINEA,EDNEIA;[EDINEA, EDINEIA];2;0;1;0.8;[EDINA, EDINEA, EDINEIA];2;1;1;0.666666666667;[EDINA, EDINEA, EDINEIA, EDMO, EDNA, EDNE, EDNEI, EDNEIA, ETIENE];3;6;0;0.5;[ADEMAR, ADEMIR, ADENIS, ADENOR, ADHEMAR, ADHEMAYR, ADNIL, DANIEL, DENECY, DENICE, DENIO, DENIS, DENYS, DGNAR, DIANA, DIDIMO, DIDNEY, DIMAS, DINA, DINAH, DINOMAR, DIOMAR, DIONE, DUERGNES, EDIMAR, EDIMUNDO, EDINA, EDINEA, EDINEIA, EDMAR, EDMIR, EDMO, EDMUNDO, EDNA, EDNE, EDNEI, EDNEIA, IDMAR, IDOMAR, ODENI, ODINEIA];3;38;0;0.136363636364;[EDINEIA];1;0;2;0.5;[EDINA, EDINEA, EDINEIA, EDNA, EDNE, EDNEI, EDNEIA];3;4;0;0.6;[EDINEA, EDINEIA, EDNEIA, ODINEIA];3;1;0;0.857142857143;[EDINEIA, EDNEIA, EDINEA];3;0;0;1.0
